R[write to console]: Loading required package: tVAR

* installing *source* package ‘tVAR’ ...
** using staged installation
** R
** byte-compile and prepare package for lazy loading
** help
*** installing help indices
*** copying figures
** building package indices
** testing if installed package can be loaded from temporary location
** testing if installed package can be loaded from final location
** testing if installed package keeps a record of temporary installation path
* DONE (tVAR)
/home/bjerkovic/.local/lib/python3.8/site-packages/rpy2/robjects/vectors.py:927: UserWarning: R object inheriting from "POSIXct" but without attribute "tzone".
  warnings.warn('R object inheriting from "POSIXct" but without '
Accuracy for experiment id 0 is 1.0
Accuracy for experiment id 1 is 1.0
Accuracy for experiment id 2 is 1.0
Accuracy for experiment id 3 is 1.0
Accuracy for experiment id 4 is 1.0
Accuracy for experiment id 5 is 1.0
Accuracy for experiment id 6 is 1.0
Accuracy for experiment id 7 is 1.0
Accuracy for experiment id 8 is 1.0
Accuracy for experiment id 9 is 1.0
Accuracy for experiment id 10 is 1.0
Accuracy for experiment id 11 is 1.0
Accuracy for experiment id 12 is 1.0
Accuracy for experiment id 13 is 1.0
Accuracy for experiment id 14 is 1.0
Accuracy for experiment id 15 is 1.0
Accuracy for experiment id 16 is 1.0
Accuracy for experiment id 17 is 1.0
Accuracy for experiment id 18 is 1.0
Accuracy for experiment id 19 is 1.0
Accuracy for experiment id 20 is 1.0
Accuracy for experiment id 21 is 1.0
Accuracy for experiment id 22 is 1.0
Accuracy for experiment id 23 is 1.0
Accuracy for experiment id 24 is 1.0
Accuracy for experiment id 25 is 1.0
Accuracy for experiment id 26 is 1.0
Accuracy for experiment id 27 is 1.0
Accuracy for experiment id 28 is 1.0
Accuracy for experiment id 29 is 1.0
Accuracy for experiment id 30 is 1.0
Accuracy for experiment id 31 is 1.0
Accuracy for experiment id 32 is 1.0
Accuracy for experiment id 33 is 1.0
Accuracy for experiment id 34 is 1.0
Accuracy for experiment id 35 is 1.0
Accuracy for experiment id 36 is 1.0
Accuracy for experiment id 37 is 1.0
Accuracy for experiment id 38 is 1.0
Accuracy for experiment id 39 is 1.0
Accuracy for experiment id 40 is 1.0
Accuracy for experiment id 41 is 1.0
Accuracy for experiment id 42 is 1.0
Accuracy for experiment id 43 is 1.0
Accuracy for experiment id 44 is 1.0
Accuracy for experiment id 45 is 1.0
Accuracy for experiment id 46 is 1.0
Accuracy for experiment id 47 is 1.0
Accuracy for experiment id 48 is 1.0
Accuracy for experiment id 49 is 1.0
Accuracy for experiment id 50 is 1.0
Accuracy for experiment id 51 is 1.0
Accuracy for experiment id 52 is 1.0
Accuracy for experiment id 53 is 1.0
Accuracy for experiment id 54 is 1.0
Accuracy for experiment id 55 is 1.0
Accuracy for experiment id 56 is 1.0
Accuracy for experiment id 57 is 1.0
Accuracy for experiment id 58 is 1.0
Accuracy for experiment id 59 is 1.0
Accuracy for experiment id 60 is 1.0
Accuracy for experiment id 61 is 1.0
